code,name,price
2 CP1040,PLACA HELADERA CP1040 DFF37/40/44,34580.17
2 CP1041,PLACA HELADERA CP1041 DF38/41/45,34580.17
2 CP1430,PLACA HELADERA CP1430 DFF37/40/44,15845.45
2 CP1460,PLACA HELADERA CP1460 WRM40/44/47/48 ERM440/480,41783.47
2 CP1466,PLACA HELADERA CP1466 DF46,25938.02
2 CP1469,PLACA HELADERA CP1469 WRW47/51,41783.47
2 CP1476,PLACA HELADERA CP1476,46098.35
2 CP1477,PLACA HELADERA CP1477,46098.35
2 MP1,PLACA HELADERA PATRICK/MABE/GE,23973.55
2 SS1,PLACA HELADERA SAMSUNG RT32/RT35 ETC.,59079.34
2 CP1484,PLACA INTERFACE HELADERA ELECTROLUX CP1484 DF43/DF46/DF48/DF49 / DFW48,26195.04
1 6CP0549,PLACA LAVARROPAS ELECTROLUX LQ10 / LF10,51454.55
1 6CP0205,PLACA LAVARROPAS ESLABON DE LUJO ARW680/2/3 (7BOTONES),74995.04
1 6CP0420,PLACA LAVARROPAS ESLABON DE LUJO EWT07/22 EWT09/24 (8 BOTONES),82070.25
1 6LP1,PLACA MODELO:  P/LPK06 2088 07,63675.21
1 6E2,PLACA MODELO: 01B FUZZY WASH S/VISOR,48881.82
1 6E1,PLACA MODELO: 01BW FUZZY WASH C/VISOR,48881.82
1 6S2,PLACA MODELO: 1470B,64318.18
1 6P1,PLACA MODELO: 316U P/PH708/S.DORADA/ZENIT 7800,46695.04
1 6LG1,PLACA MODELO: 6210,63675.21
1 6P3,PLACA MODELO: S1103 P/ PH180 / PH08 / PH10,59429.75
1 6S5,PLACA MODELO: WF1702,134483.47
1 6S7,PLACA MODELO: WF8650,108756.2
1 6S4,PLACA MODELO: WRF1904,99400.83
1 6S3,PLACA MODELO: WW90/WW70J,140330.58
1 6S6,PLACA MODELO: WW90K6410,140330.58
1 6P4,PLACA MODELO: XQB80-8305GU P/PH15,67919.83
1 6P2,PLACA MODELO:TB80 718 FPS/ PH13,63675.21
4 23,PORTAFUSIBLE 8.5AMP  COD: 028,4525.62
1 10B1,PRESOSTATO BGH/SIAM ORIGINAL,8185.95
1 10S1,PRESOSTATO MODELO: 00731A/SAMSUNG CARGA SUPERIOR,14150.41
1 10S2,PRESOSTATO MODELO: 01703A P/SAMSUNG CARGA FRONTAL,14793.39
1 10G1,PRESOSTATO MODELO: 03B P/GAFA ELECTROLUX,6514.05
1 10L1,PRESOSTATO MODELO: 503L P/LG CARGA SUPERIOR,16699.17
1 10P1,PRESOSTATO MODELO: LS-PH90/ MIDEA/ SIAM LSI-LS65BI,9355.37
1 10P2,PRESOSTATO MODELO: PHILCO PHLF060B,9940.5
1 10SM1,PRESOSTATO MODELO: SIAM LSI LF8014B12INV,7367.77
1 10L2,PRESOSTATO MODELO:006S P/LG CARGA FRONTAL,10290.91
1 10S3,PRESOSTATO SAMSUNG ORIGINAL 703G,11694.21
2 12R5,PROTECTOR TERMICO 4TM 1/3,1684.3
2 12R4,PROTECTOR TERMICO 4TM 1/4,1684.3
2 12R3,PROTECTOR TERMICO 4TM 1/5,1684.3
2 12R2,PROTECTOR TERMICO 4TM 1/6,1684.3
2 12R9,PROTECTOR TERMICO QD 1/3,1356.2
2 12R8,PROTECTOR TERMICO QD 1/4,1356.2
2 12R7,PROTECTOR TERMICO QD 1/5,1356.2
2 12R6,PROTECTOR TERMICO QD 1/6,1356.2
2 12R1,PTC 4 PINES - AIRMAX,1684.3
2 12R13,RELAY CON PROTECTOR TERMICO P/ MOTOR EMBRACO 1/3,4888.43
2 12R12,RELAY CON PROTECTOR TERMICO P/ MOTOR EMBRACO 1/4,4888.43
2 12R11,RELAY CON PROTECTOR TERMICO P/ MOTOR EMBRACO 1/5,4888.43
2 12R10,RELAY CON PROTECTOR TERMICO P/ MOTOR EMBRACO 1/6,4888.43
6 1H3,REPUESTO CUCHILLA CT274 BLISTER POR 25,21224.79
2 3R2,RESISTENCIA     DFF   37 / 40 / 44       ELECTROLUX- ROMA-TECH,21224.79
2 3R6,RESISTENCIA    DFF  50     P/ELECTROLUX - ROMA-TECH,21224.79
2 3R9,RESISTENCIA - P/ SIAM HSI NT41 - ROMA-TECH,23154.55
2 3R8,RESISTENCIA - P/RDR240 MABE/GE - ROMA-TECH,19295.87
2 3RV10,RESISTENCIA 10 PULGADAS VIDRIO 220V/115W,7250.41
