Unnamed: 0,Категория товара,Наименование,Ansal код,Ansal название,Цена Ansal Оптовая,Цена Ansal Розничная,Reld код,Reld название,Цена Reld Оптовая,Цена Reld Розничная,Bellini код,Bellini название,Цена Bellini Оптовая,Цена Bellini Розничная,Uriarte код,Uriarte название,Цена Uriarte Оптовая,Цена Uriarte Розничная,Fijamom код ,Fijamom название,Fijamom Цена Fijamom Оптовая,Цена Fijamom Розничная
,ХОЛОДИЛЬНАЯ ТЕХНИКА,Filtro cobre con chicote 30gr BS,491214,620212003,,,W28026-B,,,,,,,,,,,,,,,
,**Припой*,Fundente ARGENTA 50gr plata 540/980°C,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Шланги заправочные*,Kit 3 mangueras 150cm 2500PSI R-22 BLUESTAR,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Манометры,Вакуумметр*",Manifold VALUE VMG-2 R600a B-03 sin manguera,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Манометры,Вакуумметр*",Manometro R-410A alta 1527H BLUESTAR ,971048,900504006,,,GR410H-80,,,,,,,,,,,,,,,
,"*Манометры,Вакуумметр*",Manovacuometro R-410A alta VMG-2 VALUE Ø80mm,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Манометры,Вакуумметр*",Manovacuometro R-22 baja VALUE VMG-2 Ø80mm,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,Motocompresor BLUESTAR MGQR12K 1/2HP R-404A,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,Motocompresor BLUESTAR MGQR16K 3/4HP R-404A,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,Motocompresor BLUESTAR ADW153 1/2HP R-134a,906488,Mot.Alum.BlueStar 1/2 ALADW153-R134-380W,,,,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,Motocompresor BLUESTAR MQGQR11K 1/3HP R-404A,906524,,,,,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,Motocompresor BLUESTAR ADW66 1/4HP R-134a,906512,,,,,,,,,,,,,,,,,,,
,"*Вентили,переходники*",Kit extractor ovulo LX5067 BLUESTAR,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Вентили,переходники*","Llave globo Ø1/4"" para manguera recta BLUESTAR",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Бытовая Серия,Motocompresor EMBRACO FFUS100-HAK 1/3 R-134a,575027,,,,,,,,,,,,,,,,,,,
,***Вентиляторы для установки в проём*,"Motor vastago 37,5mm Ø4,7mm 220V BLUESTAR YZF-672",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,***Крыльчатки*,Aspas Ø200mm 27° BS alum,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Вальцовка*,"Pestañadora VFT808L-I Ø1/4""-3/4"" VALUE ",940731,V-FT808I,,,,,,,,,,,,,,,,,,
,*Вальцовка*,"Pestañadora CT-275FS  Ø1/8""-3/4"" exp/punsadora BLUESTAR",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Клещи-щипцы пережемные*,Pinza cortacapilares BLUESTAR CL1-CT1104,778010,Pinza cortacapilares CL1-CT1104-BlueStar,,,,,,,,,,,,,,,,,,
,**Труборасширители**,"Pinza expansora Ø1/4""-7/8"" DSZH WK622",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Труборасширители**,Punzon expansor DSZH ST-E900S4S,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,***Крыльчатки*,Reja condensador BS Ø200mm,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Трубогибы*,"Resorte dobla caño Ø1/2"" BLUESTAR",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Трубогибы*,"Resorte dobla caño Ø1/4"" BLUESTAR",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Трубогибы*,"Resorte dobla caño Ø3/4"" BLUESTAR",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Трубогибы*,"Resorte dobla caño Ø5/8"" BLUESTAR",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Трубогибы*,"Resorte dobla caño Ø3/8"" BLUESTAR",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,Труба медная,"Caño Ø1/2"" 15m",567250,"Rollo 15m cano 1/2------4,050kg---------",,,651002010,Rollo 15m Caño 1/2 Hailiang 12.70x0.79mm--ASTMB280,,,,,,,,,,,,,,
,Труба медная,"Caño Ø 1/4"" 15m",567220,Rollo 15m cano 1/4-------1.900kg--------,,,651002004,Rollo 15m Caño 1/4 Hailiang 6.35x0.76mm--ASTMB280,,,,,,,,,,,,,,
,Труба медная,"Caño Ø3/4"" 15m",567271,"Rollo 15m cano 3/4 x e:1mm----7,82Kg/r--",,,651002014,Rollo 15m Caño 3/4 Hailiang 19.05x0.79mm--ASTMB280,,,,,,,,,,,,,,
,Труба медная,"Caño Ø 3/8"" 15m",567240,"Rollo 15m cano 3/8-----2,950kg----------",,,651002008,Rollo 15m Caño 3/8 Hailiang 9.52x0.79mm--ASTMB280,,,,,,,,,,,,,,
,Труба медная,"Caño Ø5/16"" 15m",567230,"Rollo 15m cano 5/16--------2,500kg------",,,651002006,Rollo 15m Caño 5/16 Hailiang 7.94x0.79mm--ASTMB280,,,,,,,,,,,,,,
,Труба медная,"Caño Ø5/8"" 15m",567260,"Rollo 15m cano 5/8---------5,250kg------",,,651002012,Rollo 15m Caño 5/8 Hailiang 15.88x0.79mm--ASTMB280,,,,,,,,,,,,,,
,Труба медная,"Caño Ø 1/4"" 45m",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,МОНТАЖ,Cinta split sin adhesivo TACSA blanca 70mm 18m,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Припой*,"Varillas soldadura ARGENTA 2,0mm alum B122 15unid",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Припой*,"Varillas soldadura 2% 3,0mm plata kg ARGENTA SP2",Argenta 927622,,,,,,,,,,,,,,,,,,,
,**Опоры*,Soporte 109mm BLUESTAR,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Опоры*,Soporte 72mm BLUESTAR,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Опоры*,Soporte 84mm BLUESTAR,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato RANCO K59-L2713,816604,RS-K59L2713,,,,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato ROBERTSHAW RC22027-2 2frios,490033,683010004,,,,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato ROBERTSHAW RC23670-2S,490041,,,,,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato ROBERTSHAW RC42600-2E bebidas,490112,683030001,,,YC42600-2E,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato ROBERTSHAW RC45070-4s BAMBI,490083,683020011,,,YC45070-2S,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato ROBERTSHAW RC94522-4S,490075,683010020,,,YC94522-4S,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato ROBERTSHAW TSV9013-2,490023,683010080,,,YSV9013-22,,,,,,,,,,,,,,,
,*Таймера*,Timer 6hs 25min BLUESTAR TMDC625,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Таймера*,Timer 8hs  7min BLUESTAR DBZ-TD20,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Таймера*,Timer 6hs 25min BLUESTAR TMDE625,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,Труба медная,"Tira cobre Ø7/8"" x 1mm 5m",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*ТРВ Danfoss*,Tobera SANHUA 0-RFKH02,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*ТРВ Danfoss*,Tobera SANHUA 1-RFKH02,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*ТРВ Danfoss*,Tobera SANHUA 2-RFKH02,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*ТРВ Danfoss*,Tobera SANHUA 3-RFKH02,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*ТРВ Danfoss*,Tobera SANHUA 4-RFKH02,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*ТРВ Danfoss*,Tobera SANHUA 5-RFKH02,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*ТРВ Danfoss*,Tobera SANHUA 6-RFKH02,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*ТРВ Danfoss*,Tobera SANHUA 0X-RFKH02,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Ресивер*,Tubo recibidor SANHUA LRA-B03076-90 1L,994180,Tubo Recibidor SANHUA LRA-B03076-901-1Lt,,,,,,,,,,,,,,,,,,
,**Ресивер*,"Tubo recibidor SANHUA LRA-B05127-90 2,1L",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Вентили,переходники*","Union bronce Ø5/16""FM x 1/4""FM",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Вентили,переходники*","Valvula acceso directo Ø1/4""  0,4x100mm BLUESTAR",140510,Valvula de acceso SPLIT 1/4F-AV-1A-FC602,,,,,,,,,,,,,,,,,,
,*З/Ч К ПРОМ. ХОЛОД. ТЕХ.,"Valvula solenoide Ø1/4""S SANHUA MDFA033H001 S/Bobina",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*З/Ч К ПРОМ. ХОЛОД. ТЕХ.,"Valvula solenoide Ø1/4""F SANHUA MDFA033L1  S/Bobina",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ТРВ*,Valvula termostatica SANHUA RFGB03 0.25TR R-404A,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ТРВ*,Valvula termostatica SANHUA RFGB04 0.23TR R-134a,994540,Valv.Termost.SANHUA RFGB04 0.23TR R134--,,,,,,,,,,,,,,,,,,
,**ТРВ*,Valvula termostatica SANHUA RFGB04 0.44TR R-134a,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ТРВ*,Valvula termostatica SANHUA RFGB03 1.0 TR R-404A,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ТРВ*,Valvula termostatica SANHUA RFGB01E 2.0TR R-22,994560,Valv.Termost.SANHUA RFGB01E 0.35TR-R22--,,,,,,,,,,,,,,,,,,
,**ТРВ*,Valvula termostatica SANHUA RKFH01 R-22,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ТРВ*,Valvula termostatica SANHUA RKFH03 R-404A,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ТРВ*,Valvula termostatica SANHUA RKFH04E R-134a,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ТРВ*,Valvula termostatica SANHUA RKFH05E R-410A,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ТРВ*,Valvula termostatica SANHUA RKFH05 R-410A,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,Флекс,"Aislacion Ø1/2"" 9mm COOLTECH",NOT_FOUND,NONE,,,CO-F13,,,,,,,,,,,,,,,
,Флекс,"Aislacion Ø1/4"" 6mm COOLTECH",NOT_FOUND,NONE,,,CO-D06,,,,,,,,,,,,,,,
,Флекс,"Aislacion Ø1/4"" 9mm COOLTECH",NOT_FOUND,NONE,,,CO-F06,,,,,,,,,,,,,,,
,Флекс,"Aislacion Ø3/4"" 9mm COOLTECH",NOT_FOUND,NONE,,,CO-F19,,,,,,,,,,,,,,,
,Флекс,"Aislacion Ø3/8"" 9mm COOLTECH",NOT_FOUND,NONE,,,CO-F10,,,,,,,,,,,,,,,
,Флекс,"Aislacion Ø5/8"" 9mm COOLTECH",NOT_FOUND,NONE,,,CO-F16,,,,,,,,,,,,,,,
,Флекс,"Aislacion Ø7/8"" 9mm COOLTECH",NOT_FOUND,NONE,,,CO-F22,,,,,,,,,,,,,,,
,*Предохранители*,Bimetal SKSD 7002 con fusible,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Предохранители*,Bimetal SKSD 2012 +4/+13ºC,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Предохранители*,Bimetal SKSD 1005 +8/+15ºC,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,Флекс,Cinta aluminio 50mm x 50m,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Электронные блоки*,Controlador digital COEL E33 2SO/SA 220V,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Электронные блоки*,Controlador digital COEL E31 1SO/1SA 220V,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Ножницы капиллярные, риммеры*",Escariador CT-207 tipo lapiz exterior,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,***Вентиляторы для установки в проём*,Motor vastago SANYO IS-3215AB,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Манометры,Вакуумметр*",Manometro GGT-R600-H R-600a alta COOLTECH,NOT_FOUND,NONE,,,GGT-R600-H,,,,,,,,,,,,,,,
,"*Манометры,Вакуумметр*",Manifold GGT-636-R-22 R-12 3 mangueras con visor,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Манометры,Вакуумметр*",Manifold GGT-410-B R-22/134/404/410 3 mangueras con visor,946124,GGT-636,,,,,,,,,,,,,,,,,,
,*З/Ч К СПЛИТ-СИСТЕМАМ,Plaqueta universal con control remoto QD-U03C+,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Трубогибы*,"Resortes dobla caño juego Ø1/4""-3/4""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*З/Ч К ПРОМ. ХОЛОД. ТЕХ.,Valvula solenoide MDF-A03-10L002 5/8F,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Датчики*,Sensor kit 2 split 10kOm (4 pin),NOT_FOUND,Sensor TH1/2  92007-005463 (TAC12CH),,,,,,,,,,,,,,,,,,
,*Датчики*,Sensor kit 2 split 5kOm (4 pin),853010,Sensor Evp. TH1/2-5/5k 10104-100014,,,,,,,,,,,,,,,,,,
,*ERRECOM,Sellas fugas K11 10 ml,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato K59-L1132,816604,RS-K59L2713,,,,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato K59-L2590,816603,682510004,,,RS-K59L2698,,,,,,,,,,,,,,,
,*Таймера*,Timer universal DS-ALL programable,NOT_FOUND,"Timer Bluestar Univ DT0624 15,21,25,32m-",,,,,,,,,,,,,,,,,,
,**Вентиляторы тангенциальные*,Ventilador tangencial L180mm Ø60mm der,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Вентили,переходники*","Valvula acceso directo Ø1/4""  0,4x65mm COOLTECH",140510,Valvula de acceso SPLIT 1/4F-AV-1A-FC602,,,,,,,,,,,,,,,,,,
,"*Вентили,переходники*","Valvula bola Ø1/4""FM x 5/16""FH con retencion",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,***Вентиляторы для установки в проём*,Cooler 120x120x38mm 5 paletas ruleman COOLTECH,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,***Вентиляторы для установки в проём*,Cooler 120x120x38mm 7 paletas ruleman COOLTECH,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Манометры,Вакуумметр*",Manometro R-600a baja COOLTECH,NOT_FOUND,NONE,,,GGT-R600-L,,,,,,,,,,,,,,,
,"*Вентили,переходники*",Extractor ovulo metal,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Вентили,переходники*",Extractor ovulo plastico,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Предохранители*,Bimetal SKSD 4003 -13/+2ºC con fusible,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Предохранители*,Bimetal SKSD 4001 -8/+2ºC con fusible,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Электронные блоки*,Controlador digital ELITECH EK-3030 2SO/SA 220V GRAY,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Электронные блоки*,Controlador digital ELITECH ECS-961 NEO 1SO/1SA 220V,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Электронные блоки*,Controlador digital ELITECH ECS-974 2SO/SA 220V,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Электронные блоки*,Controlador digital ELITECH EK-3020 1SO/1SA 220V,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон большие баллоны*,"Refrigerante R-134a 13,6kg TORRINGTON",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон большие баллоны*,"Refrigerante R-404A 10,9kg TORRINGTON",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон большие баллоны*,"Refrigerante R-410A 11,3kg TORRINGTON",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон большие баллоны*,"Refrigerante R-134a 13,6kg NECTON",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон большие баллоны*,"Refrigerante R-22 13,6kg NECTON",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон *,Refrigerante R-290 400gr NECTON,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон *,Refrigerante R-600a 420gr NECTON,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон большие баллоны*,"Refrigerante R-407C 11,3kg NECTON",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Патрубок*,Codo salida LONGVIE 9580/9550 9 lomos,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Патрубок*,Codo salida DREAN GOLD/CANDY carga superor,853068,Codo Drenaje 42009-000029 (TA8-32),,,,,,,,,,,,,,,,,,
,*З/Ч К ХОЛОД. ТЕХ.,Tornillo M6 1x25 soporte DREAN BLUE,NOT_FOUND,Tornillo p/Bob.92008-0002451_CT(BS11INV),,,,,,,,,,,,,,,,,,
,**Сальники бака*,Reten 22x40x10 bajo AURORA 03 imp,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Сальники бака*,Reten 22x40x13 AURORA 03 imp,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Сальники бака*,Reten 25x47x10 bajo AURORA 04 imp,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Сальники бака*,"Reten 25x47x12,5 AURORA 04 imp",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Сальники бака*,"Reten 30x52x10,05 Bajo AURORA imp",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**УБЛ*,Blocapuerta 3 cont PATRICK/GE LPK06E10BA,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"**Шланги заливные, сливные, аквастопы*","Manguera carga 2,5m",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Ручки люка*,Tirador puerta ELECTROLUX 600/800/1000 TURCO,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Разное стирка*,Agitador GAFA L350mm,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,"Alicate oblicuo 7"" BREMEN",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*З/Ч К ХОЛОД. ТЕХ.,Bandejon verdura BAMBI NoFrost,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*INDESIT,Balcon freezer TITANIUM,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*INDESIT,Balcon botella TITANIUM,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,***Микродвигатели*,Forzador tipo ELCO N10-20W,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB65 25MF DB,NOT_FOUND,NONE,,,CA-BB65-25AL,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB65 60MF DB,NOT_FOUND,NONE,,,CA-BB65-60AL,,,,,,,,,,,,,,,
,**Сальники бака*,Reten 21x40x07 imp,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,Caja SANYO/GAFA,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,Caja PHILCO PH15/ATMA reten 78mm,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,Caja SAMSUNG cuadrada 9x9,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**УБЛ*,Blocapuerta DREAN NEXT 8.14/10.12,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Реле*,Protector termico 1/4 redondo,207519,Protector DICOM 59L36-T7711--1/4-S-G-F--,,,,,,,,,,,,,,,,,,
,*Реле*,Protector termico 1/5 redondo,NOT_FOUND,Protector DICOM 67L36-T0910-1/5-S-G-O-F-,,,,,,,,,,,,,,,,,,
,*Реле*,Protector termico 1/2 ceramico,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Реле*,Protector termico 1/4 ceramico BEL,207519,Protector DICOM 59L36-T7711--1/4-S-G-F--,,,,,,,,,,,,,,,,,,
,*Реле*,Protector termico 1/5 ceramico,207507,Protector DICOM 63K36-T8002-1/5-SIC.1370,,,,,,,,,,,,,,,,,,
,*Реле*,Protector termico 1/6 ceramico,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB61 1MF cuadrado,917070,CA-BB61-1-440,,,,,,,,,,,,,,,,,,
,*Конденсаторы электрические,"Capacitor CBB61 1,5MF cuadrado",917071,CA-BB61-1.5-440,,,,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB65 30MF DB,NOT_FOUND,Capacitor Compr. 40mF CBB65 (TAC12CH),,,CA-BB65-30AL,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB65 45MF DB,NOT_FOUND,NONE,,,CA-BB65-45AL,,,,,,,,,,,,,,,
,**Сальники бака*,"Reten 25x61,2x22 ELAC 9-11kg ",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Датчики уровны воды*,Presostato 3 contactos GAFA Elba7.8Elsa7.8 ACUARIUS,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Ручки люка*,Tirador puerta LONGVIE 540 redondo,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Крепление люка*,Bisagra AURORA blanca,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Крепление люка*,Bisagra DREAN BLUE 180 12113,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,СТИРАЛЬНЫЕ МАШИНЫ,Polea WWI,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato RC23670-2 TIVOLI chino,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato RC24522-4 PEABODY chino,NOT_FOUND,NONE,,,YC22027-2,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato RC45070-4 AMBIENTE WPF7W chino,490083,683020011,,,YC45070-2S,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato RC53600-2 FREEZER GEPASA chino,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato RC53626-2 FREEZER FRARE chino,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato RC94522-4 chino,490075,683010020,,,YC94522-4S,,,,,,,,,,,,,,,
,*INDESIT,Balcon deposito dispenser BAMBI NoFrost,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*INDESIT,Bandejon verdura BAMBI (1200),NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB61 2MF cuadrado,917072,CA-BB61-2-440,,,,,,,,,,,,,,,,,,
,*Конденсаторы электрические,"Capacitor CBB61 2,5MF cuadrado",917073,CA-BB61-2.5-440,,,,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB61 6MF cuadrado,982713,,,,,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB65 70MF DB,NOT_FOUND,NONE,,,CA-BB65-70AL,,,,,,,,,,,,,,,
, Направление  СБТ,Mecha SDS p/hormigon Ø8x110mm BREMEN,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,Mecha SDS p/hormigon Ø10x110mm BREMEN,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Разное стирка*,Agitador DREAN 5.05 L330mm,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Разное стирка*,Agitador L375mm PHILCO PH08/10,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Сальники бака*,"Reten 30x52x8,5/10,5",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Сальники бака*,Reten 30x64x15/23 G.ELECTRIC imp,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Сальники бака*,Reten 32x53x15 LONGVIE imp,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Сальники бака*,Reten 47x88x10/12 MABE/PHILCO imp,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Сальники бака*,"Reten 25x50,75x10/12 PHILCO CODINI CF6510 ",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Сальники бака*,"Reten 37x76x9,5/12 PATRICK imp",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Патрубок*,Codo entrada SAMSUNG 1904 DC37-00422A,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**КЭНы*,Electrovalvula 2 vias 180° gris SAMSUNG,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**КЭНы*,Electrovalvula 1 via 90° ROBERTSHAW INVENSYS,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,Mecha SDS p/hormigon Ø6x110mm BREMEN,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Щетки угольные*,"Carbon lava 5,0x10,0x30mm KENT GE",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Испарители*,Placa evaporadora 300x400mm 2 canales,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Испарители*,Placa evaporadora 400x900mm 2 canales,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,Флекс,Cinta PVC 15mm x 10m negra,300115,Cinta aisl.TACSA PVC 10m Negr 15Plus----,,,,,,,,,,,,,,,,,,
,Флекс,Cinta PVC 15mm x 10m blanca,300100,Cinta aisl.TACSA PVC 10m Blan 15Plus----,,,,,,,,,,,,,,,,,,
, Направление  СБТ,"Precinto nylon 4,8x200mm blanco",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,"Precinto nylon 4,8x200mm negro",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,"Precinto nylon 4,8x250mm blanco",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,"Precinto nylon 4,8x250mm negro",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
